Disease,Contagious,Cause_of_Disease,Medication_Required,Hospitalisation_Needed,Care_Recommendations,Chronic_Condition,Average_Recovery_Time_Weeks
Lead Poisoning,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Actinic Keratosis,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Choledocholithiasis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Head and Neck Cancer,TRUE,Abnormal uncontrolled cell growth due to genetic and environmental factors,"Chemotherapy, targeted therapy, or pain management medication",Yes,"High-protein nutritious diet, regular follow-up care, avoid smoking and alcohol, limit strenuous activity during treatment",Yes,52
Sjögren's syndrome,TRUE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Peritonitis,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Anemia of Chronic Disease,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Ovarian Torsion,TRUE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Sciatica,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Lupus,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Neonatal Jaundice,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Gastrointestinal Hemorrhage,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Dislocation of the Ankle,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Vaginal Cyst,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Orthorexia Nervosa,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Urinary Tract Infection (UTI),FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Placenta Previa,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",No,8
Acute Pancreatitis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Gum Disease,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Panic Attack,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Lice,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Pyloric stenosis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Pigmentary Glaucoma,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Abscess,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Myositis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Von Willebrand Disease,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Gastroparesis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Chancroid,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Fungal Infection of the Skin,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Stimulant Use Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Chronic Fatigue Syndrome,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Threatened Pregnancy,FALSE,Hormonal and physiological changes during pregnancy,Medication only under obstetric supervision,No,"Eat iron and calcium-rich foods, stay hydrated, avoid stress and heavy physical activity",Yes,12
Chronic Glaucoma,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Urticaria (Hives),FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Vitreous Hemorrhage,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Binge Eating Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Hypercholesterolemia,FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Stress Incontinence,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Labyrinthitis,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Dysthymic Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Ethylene glycol poisoning-1,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Impulse Control Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Intracranial Hemorrhage,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Postpartum Depression,TRUE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Injury to the Leg,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Stroke,FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Huntington Disease,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Mononucleosis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Hallucinogen Use Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Ependymoma,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Lymphoma,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Urinary Tract Infection (UTI),FALSE,Hormonal and physiological changes during pregnancy,Medication only under obstetric supervision,No,"Eat iron and calcium-rich foods, stay hydrated, avoid stress and heavy physical activity",No,6
Transient ischemic attack,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Normal-Tension Glaucoma,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Thyroid Disease,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Bladder Cancer,FALSE,Abnormal uncontrolled cell growth due to genetic and environmental factors,"Chemotherapy, targeted therapy, or pain management medication",Yes,"High-protein nutritious diet, regular follow-up care, avoid smoking and alcohol, limit strenuous activity during treatment",Yes,52
Fracture of the Arm,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Mucocele,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Kidney Failure,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Chagas Disease,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Leukemia,TRUE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Vesicoureteral Reflux,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Endometriosis,FALSE,Hormonal and physiological changes during pregnancy,Medication only under obstetric supervision,No,"Eat iron and calcium-rich foods, stay hydrated, avoid stress and heavy physical activity",Yes,12
Psoriasis,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Infection of Open Wound,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Anemia,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Spondylosis,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Acute Otitis Media,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Fracture,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",No,8
Round Ligament Pain,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Autism,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Pleomorphic adenoma,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Otosclerosis,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Bulimia Nervosa,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Poisoning due to Analgesics,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Pseudohypoparathyroidism,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Dermatitis due to Sun Exposure,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Anemia due to Malignancy,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Hyperhidrosis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Otitis Media,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Benign Kidney Cyst,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Pain after an Operation,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Chronic Knee Pain,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Volvulus,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Scurvy,TRUE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",No,8
Urinary Stones (Kidney Stones),FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Injury to the Finger,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Retinal Detachment,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Chronic Rheumatic Fever,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Acute Bronchospasm,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Vulvodynia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Other Specified Feeding or Eating Disorder (OSFED),FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Anemia due to Chronic Kidney Disease,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Pemphigus,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Syphilis,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Omphalitis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Idiopathic Nonmenstrual Bleeding,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Myofascial Pain Syndrome,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Vocal cord polyp,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Rotator Cuff Injury,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Fibromyalgia,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Hypercalcemia,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Secondary Glaucoma,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Drug Reaction,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Acute Sinusitis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Polycystic Ovarian Syndrome,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Complex Regional Pain Syndrome (CRPS),FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Optic Neuritis,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Adrenal Cancer,FALSE,Abnormal uncontrolled cell growth due to genetic and environmental factors,"Chemotherapy, targeted therapy, or pain management medication",Yes,"High-protein nutritious diet, regular follow-up care, avoid smoking and alcohol, limit strenuous activity during treatment",Yes,52
Intracranial Abscess,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Adenoid cystic carcinoma,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Fracture of the Patella,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Restless Leg Syndrome,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Cold Sore,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Chronic Kidney Disease,TRUE,Insulin resistance or insufficient insulin production,Insulin or oral antidiabetic medication,No,"Follow a low-sugar balanced diet, exercise moderately, avoid sugary foods, monitor blood sugar regularly",Yes,12
Goiter,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Type 1 Diabetes,FALSE,Insulin resistance or insufficient insulin production,Insulin or oral antidiabetic medication,No,"Follow a low-sugar balanced diet, exercise moderately, avoid sugary foods, monitor blood sugar regularly",Yes,12
Dislocation of the Elbow,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Rabies,TRUE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Contact Dermatitis,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Hemophilia,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Open Wound from Surgical Incision,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Chronic Migraine,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
