Disease,Symptoms,Medical_Test_Results,Possible_Patient_History,Lifestyle_Factors
Chronic Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, postnasal drip, cough, fatigue",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Concussion,"Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Parathyroid Adenoma,"Fatigue, weakness, bone pain, frequent urination, kidney stones","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Herpangina,"Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Conversion Disorder,"Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Lymphedema,"Swelling in arms or legs, feeling of heaviness or tightness",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hirschsprung Disease,"Chronic constipation, abdominal distension, failure to pass meconium (in newborns)",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Rheumatoid Arthritis,"Joint pain, stiffness, swelling, fatigue, loss of appetite","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Turner syndrome,"Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Sciatica,Pain radiating from the lower back to the leg,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Endophthalmitis,"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Myelodysplastic Syndrome,"Fatigue, frequent infections, easy bruising or bleeding","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Premature Ventricular Contractions (PVCs),"Skipped or extra heartbeats, palpitations, lightheadedness","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Ludwig's angina,"Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Cryptococcosis,"Headache, fever, fatigue, cough, meningitis, pneumonia","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Diabetic Kidney Disease,"High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Premenstrual Tension Syndrome,"Mood swings, bloating, breast tenderness, irritability",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Drug Abuse (Methamphetamine),"Increased energy and alertness, decreased appetite, rapid heartbeat","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Urge Incontinence,"Sudden, intense urge to urinate followed by involuntary urine leakage",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Dengue Fever,"High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Lead Poisoning,"Fatigue, abdominal pain, joint pain, memory loss or cognitive difficulties, developmental delays (in children), anemia",Psychological evaluation and behavioral assessment findings,"Past mental health issues, trauma, stress, or family history","Sleep deprivation, stress, social isolation, substance abuse"
Actinic Keratosis,"Rough, scaly patches on the skin, usually in sun-exposed areas","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Choledocholithiasis,"Abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ERCP) with stone removal, sphincterotomy, Cholecystectomy ",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Head and Neck Cancer,"Persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Sjögren's syndrome,"Dry mouth and eyes, fatigue, joint pain, dry skin","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Peritonitis,"Severe abdominal pain, tenderness, bloating, fever, nausea, vomiting, loss of appetite, increased heart rate","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Anemia of Chronic Disease,"Fatigue, weakness, pale skin, shortness of breath, decreased exercise tolerance","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Ovarian Torsion,"Sudden and severe abdominal or pelvic pain on one side, sharp or stabbing pain, nausea, vomiting, fever, rapid heartbeat, abdominal tenderness, bloating, swelling, pain during intercourse, abnormal bleeding or spotting","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Sciatica,"Lower back pain, leg pain, numbness or tingling",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Lupus,"Joint pain, fatigue, skin rashes","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Neonatal Jaundice,"Yellowing of the skin and eyes, pale stools, dark urine","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Gastrointestinal Hemorrhage,"Abdominal pain, vomiting blood, bloody or black stools",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Dislocation of the Ankle,"Swelling, severe pain, inability to bear weight",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Vaginal Cyst,"Small lump or swelling in the vaginal wall, discomfort or pain during intercourse",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Orthorexia Nervosa,"Obsessive focus on ""clean"" eating, healthy food choices",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Urinary Tract Infection (UTI),"Frequent urination, burning sensation during urination, cloudy or bloody urine, pelvic pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Placenta Previa,"Vaginal bleeding, painless bleeding in the third trimester",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Acute Pancreatitis,"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Gum Disease,"Swollen, red, tender gums, bleeding gums",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Panic Attack,"Chest pain, shortness of breath, palpitations",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Lice,Itching and visible presence of lice or nits (eggs) in the hair,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pyloric stenosis,"Persistent hunger, Weight loss, Dehydration, Visible peristalsis, Palpable mass, Fussiness ",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pigmentary Glaucoma,"Blurred vision, halos around lights, eye pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Abscess,"Swelling, pain, redness, fever, pus formation","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Myositis,"Muscle weakness, pain, inflammation",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Von Willebrand Disease,"Easy or excessive bruising, prolonged or excessive bleeding from cuts or injuries, frequent nosebleeds, heavy or prolonged menstrual periods, bleeding gums, blood in urine or stool",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Gastroparesis,"Nausea, vomiting, early satiety, bloating, abdominal pain, poor appetite",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Chancroid,"Painful ulcers or sores on the genital area, swollen lymph nodes in the groin",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Fungal Infection of the Skin,"Rash, itching, redness, peeling skin","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Stimulant Use Disorder,"Increased energy and alertness, euphoria, decreased appetite, increased heart rate and blood pressure, insomnia, restlessness, irritability, paranoia, psychosis (in severe cases)","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Chronic Fatigue Syndrome,"Extreme fatigue, cognitive difficulties, unrefreshing sleep",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Threatened Pregnancy,"Vaginal bleeding, abdominal cramps, pelvic pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Chronic Glaucoma,"Gradual vision loss, peripheral vision impairment, eye pain or discomfort, halos around lights",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Urticaria (Hives),"Raised, itchy welts on the skin","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Vitreous Hemorrhage,"Floaters in vision, blurry vision, eye pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Binge Eating Disorder,Recurrent episodes of binge eating without compensatory behaviors,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hypercholesterolemia,"High levels of cholesterol in the blood, fatty deposits (xanthomas) on the skin or tendons, chest pain or angina, heart attacks, strokes","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Stress Incontinence,Unintentional urine leakage during physical activity,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Labyrinthitis,"Vertigo, dizziness, nausea, hearing loss, ear pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Dysthymic Disorder,"Persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Ethylene glycol poisoning-1,"Nausea, vomiting, abdominal pain, General malaise, weakness, Increased thirst, frequent urination",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Impulse Control Disorder,"Impulsive behaviors (e.g., gambling, stealing), difficulty resisting urges",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Intracranial Hemorrhage,"Severe headache, nausea or vomiting, changes in vision, loss of consciousness, seizures",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Postpartum Depression,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Injury to the Leg,"Pain, swelling, bruising, difficulty walking",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Stroke,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Huntington Disease,"Motor, cognitive, and psychiatric symptoms",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Mononucleosis,"Fatigue, sore throat, swollen lymph nodes",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hallucinogen Use Disorder,"Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)",Psychological evaluation and behavioral assessment findings,"Past mental health issues, trauma, stress, or family history","Sleep deprivation, stress, social isolation, substance abuse"
Ependymoma,"Headaches, nausea, seizures, changes in coordination or balance",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Lymphoma,"Swollen lymph nodes, unexplained weight loss, fatigue",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Urinary Tract Infection (UTI),"Painful urination, frequent urination, pelvic pain, cloudy urine",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Transient ischemic attack,Sudden onset of neurological symptoms that resolve within 24 hours,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Normal-Tension Glaucoma,"Gradual loss of vision, visual field defects",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Thyroid Disease,"Fatigue, weight changes, mood swings, dry skin","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Bladder Cancer,"Blood in urine, frequent urination, pelvic pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Fracture of the Arm,"Pain, swelling, deformity, limited mobility or difficulty moving the arm, bruising",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Mucocele,"Painless swelling, usually on the lower lip or floor of the mouth",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Kidney Failure,"Decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Chagas Disease,"Fever, fatigue, body aches, heart and digestive problems","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Leukemia,"Fatigue, pale skin, frequent infections, easy bleeding or bruising","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Vesicoureteral Reflux,"Frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Endometriosis,"Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Psoriasis,"Red, scaly patches on the skin, itching","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Infection of Open Wound,"Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Anemia,"Fatigue, weakness, pale skin, shortness of breath","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Spondylosis,"Neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Acute Otitis Media,"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Fracture,"Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Round Ligament Pain,Sharp or aching pain in the lower abdomen or groin,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Autism,"Challenges with social interaction, communication difficulties, restricted interests or repetitive behaviors",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pleomorphic adenoma,"Painless lump or swelling, Facial changes",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Otosclerosis,"Hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Bulimia Nervosa,Recurrent episodes of binge eating followed by purging behaviors,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Poisoning due to Analgesics,"Nausea, vomiting, abdominal pain, liver or kidney damage, dizziness, confusion, respiratory distress","Reduced lung function tests, abnormal chest imaging, or oxygen saturation changes","History of allergies, smoking, recurrent breathing issues","Smoking, air pollution exposure, poor fitness, allergen exposure"
Pseudohypoparathyroidism,"Hypocalcemia (low calcium levels), tetany (muscle spasms), short stature, rounded face",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Dermatitis due to Sun Exposure,"Redness, itching, rash, blistering","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Anemia due to Malignancy,"Fatigue, weakness, shortness of breath, pale skin","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Hyperhidrosis,"Excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Otitis Media,"Ear pain, fever, fluid drainage from the ear","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Benign Kidney Cyst,"Abdominal or flank pain, blood in urine, frequent urination",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pain after an Operation,"Surgical site pain, discomfort, swelling",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Chronic Knee Pain,"Persistent knee pain, stiffness, swelling, limited range of motion",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Volvulus,"Abdominal pain, nausea, vomiting, bloating, constipation, bloody stool",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Scurvy,"Fatigue, swollen and bleeding gums, joint pain","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Urinary Stones (Kidney Stones),"Severe abdominal or back pain, blood in urine, frequent urination, pain during urination",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Injury to the Finger,"Pain, swelling, bruising, deformity, restricted range of motion, difficulty gripping or using the finger",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Retinal Detachment,"Floaters (spots or cobweb-like shapes in vision), flashes of light, curtain-like shadow over vision, sudden vision loss",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Chronic Rheumatic Fever,"Joint pain, fever, rash, heart inflammation","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Acute Bronchospasm,"Wheezing, shortness of breath, chest tightness",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Vulvodynia,"Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Other Specified Feeding or Eating Disorder (OSFED),Symptoms that do not meet the full criteria for a specific eating disorder,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Anemia due to Chronic Kidney Disease,"Fatigue, weakness, pale skin","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
